Company;SECTOR;MARKETCAP;EBITDA;EBIT;VE/EBITDA_T12M;MarkCap/BookValue;NetIncome;EV/SALES;FCF;INVENTORIES;TOTASSETS;PAYABLES_ACCRUALS;LS_DEBT;CAPITALSTOCK;InterestExpense;ROE;ROA;ROIC;CAPITALEXPEND;PROFMARGIN;LIABILITIES;REVENUE
TripAdvisor;Communication Services;12291.9164;325;232;36.2921;8.7053;198;7.9658;309;0;2128;142;201;12;10;15.609;9.7154;14.934;-109;13.2708;716;1492
Amazon.com Inc.;Consumer Discretionary;316831.5437;8514;2233;36.9465;23.6724;596;2.9538;6652;10243;64747;27405;17539;0;459;4.9409;0.9996;7.7295;-5387;0.557;51363;107006
Home Depot;Consumer Discretionary;167677.2921;13637;11774;14.945;17.9873;7009;1.9945;7870;11809;42549;10057;21315;-6772;919;89.6406;16.9925;42.3403;-1503;7.9181;36233;88519
Comcast Corp.;Consumer Discretionary;138022.7123;24678;15998;7.751;2.6406;8163;2.5645;10986;0;166574;13249;52621;-7139;2702;15.5515;5.0093;11.5656;-8499;10.9556;111375;74510
McDonald's Corp.;Consumer Discretionary;108479.6683;8701.2;7145.5;14.3562;15.3049;4529.3;4.8623;4725.2;100.1;37938.7;2622.9;24122.1;-5730.9;638.3;45.4263;12.5524;24.0911;-1813.9;17.8228;30850.8;25413
Nike;Consumer Discretionary;106524.2214;5151;4502;21.3052;8.3831;3760;2.7632;2256;4838;21379;5152;2038;-2731;31;30.1222;17.4981;29.8146;-1143;11.6135;9121;32376
Booking Holdings Inc;Consumer Discretionary;63471.9574;3531.401;3258.907;16.7216;7.2164;2551.36;6.378;3029.608;0;17420.575;1004.429;6158.443;-3067.988;160.229;29.3893;15.8511;23.0453;-173.915;27.6601;8625.106;9223.987
Ford Motor;Consumer Discretionary;55917.9988;14947;6981;3.0306;1.9523;7373;0.303;9030;8319;224925;2410;132854;-129;773;27.7807;3.3863;4.913;-7196;4.9299;196174;149558
General Motors;Consumer Discretionary;52925.5757;13025;5538;3.2094;1.3274;9687;0.2939;4956;13764;194338;51655;63111;-3520;423;25.7195;5.2103;9.5235;-6813;7.1372;154015;135725
Carnival Corp.;Consumer Discretionary;42946.1222;4200;2574;11.9853;1.8067;1757;2.9529;2251;330;39237;2072;8787;-269;217;7.3246;4.4659;7.8178;-2294;11.1811;15466;15714
Dish Network;Consumer Discretionary;26487.7887;2391.729;1428.372;16.0998;9.6362;802.374;2.5326;1724.125;390.328;22886.71;2759.281;13755.925;33.868;494.081;33.7005;3.5715;8.575;-734.998;5.2699;19854.68;15225.493
O'Reilly Automotive;Consumer Discretionary;24997.3332;1724.277;1514.021;15.236;12.7452;931.216;3.2689;931.468;2631.015;6676.684;2740.979;1390.018;-1071.6;57.129;46.7979;14.1;43.5054;-414.02;11.6889;4715.37;7966.674
Aptiv Plc;Consumer Discretionary;24011.9584;2263;1723;12.3588;10.672;1450;1.8336;999;1181;11973;3632;4008;-1159;127;60.9244;12.7787;27.2778;-704;9.5615;9240;15165
CBS Corp.;Consumer Discretionary;22411.9493;2893;2658;10.5575;4.0288;1413;2.3638;1223;1270;23765;1026;8448;-2583;392;22.5485;5.9245;17.6576;-171;11.1514;18202;12671
Royal Caribbean Cruises Ltd;Consumer Discretionary;22265.7336;1701.91;874.902;18.1039;2.7615;665.783;3.6882;333.026;121.332;20921.855;347.132;8667.055;-188.748;277.725;8.1454;3.1982;5.2298;-1613.34;8.0224;12858.816;8299.074
Ross Stores;Consumer Discretionary;21793.321;1899.199;1624.371;12.4874;9.5618;1020.661;1.865;959.292;1419.104;4869.119;1602.847;396.025;-706.437;13.29;42.9643;21.3254;60.4357;-366.96;8.5483;2397.128;11939.999
Hilton Worldwide Holdings Inc;Consumer Discretionary;21131.4694;1592;900;19.4356;3.5307;1404;2.3628;1136;442;25622;1442;10453;0;377;26.1526;5.4264;4.2317;-310;19.6832;19671;7133
Dollar General;Consumer Discretionary;20909.4632;2292.725;1940.294;10.9189;3.6619;1165.08;1.1946;886.88;3074.153;11257.885;1994.217;2970.554;-1299.613;86.944;21.0153;10.3717;22.9949;-504.806;5.72;5880.009;20368.562
Expedia Inc.;Consumer Discretionary;18678.2348;906.704;413.566;23.0307;3.8398;764.465;3.1295;581.004;0;15503.812;2867.614;3201.277;65.567;126.195;22.9961;6.2343;5.8829;-787.041;11.4573;9915.567;6672.317
Omnicom Group;Consumer Discretionary;18329.0287;2211.2;1920.1;9.4713;7.4739;1093.9;1.371;1996.8;1122.7;22110.7;10131.1;4628.8;-707.4;181.1;40.7928;5.0249;21.9684;-202.7;7.2279;19053.4;15134.4
Discovery Inc. Class A;Consumer Discretionary;16945.5651;2315;1985;10.5977;3.1098;1034;2.9309;1174;0;15864;369;7735;-951;330;12.4174;6.4962;14.1347;-103;16.1714;10172;6394
Discovery Inc. Class C;Consumer Discretionary;16945.5651;2315;1985;10.5977;3.1098;1034;2.9309;1174;0;15864;369;7735;-951;330;12.4174;6.4962;14.1347;-103;16.1714;10172;6394
Mohawk Industries;Consumer Discretionary;14000.9901;1200.213;837.566;14.2807;2.8843;615.302;2.1235;425.495;1607.256;9934.4;1256.025;3213.919;4.843;71.086;13.272;6.7542;11.2405;-503.657;7.6231;5073.537;8071.563
Genuine Parts;Consumer Discretionary;12949.0538;1266.089;1124.414;10.5641;4.1153;705.672;0.8715;1049.829;2999.966;8144.771;3062.386;625;-285.251;21.662;21.8887;8.6105;29.04;-109.544;4.6183;4985.529;15280.044
MGM Resorts International;Consumer Discretionary;12801.9337;663.651;-156.232;39.8992;2.5004;-447.72;2.8847;-461.74;104.2;25215.178;1909.509;12696.753;6.25;797.579;-9.7216;-1.7247;-0.6527;-1466.819;-4.8718;17444.501;9190.068
D. R. Horton;Consumer Discretionary;11837.3567;1388.3;1327.3;12.0253;2.0083;886.3;1.0494;531.9;8340.9;11558.9;1440.4;2798.3;82.4;0;13.972;7.8054;14.8202;-86.1;7.2902;4765.9;12157.4
Advance Auto Parts;Consumer Discretionary;11022.8399;1095.256;825.78;11.0832;4.4796;473.398;1.2479;467.897;4174.768;8127.701;3757.085;1206.895;-1.491;65.408;21.1376;5.8844;20.9608;-234.747;4.8618;5667.053;9737.018
Carmax Inc;Consumer Discretionary;10936.2024;1196.221;1058.861;17.9973;3.4643;623.428;1.2715;-432.341;1932.029;14459.911;681.66;10636.167;-936.903;36.358;20.5698;4.5081;8.2049;-315.584;4.1151;11555.125;15149.675
Best Buy Co. Inc.;Consumer Discretionary;10435.8157;2032;1375;3.8774;2.0893;897;0.1896;694;5051;13519;5764;1734;-1008;80;19.1401;6.237;21.7822;-649;2.2693;9141;39528
Lennar Corp.;Consumer Discretionary;10014.7145;1129.682;1086.016;12.7771;1.7728;802.894;1.6078;-511.001;8740.596;14419.509;475.909;5025.13;-13.67;12.454;15.1616;5.8728;10.7334;-91.355;8.4747;8469.437;9474.008
Gap Inc.;Consumer Discretionary;9926.9826;2116;1524;3.6891;3.3279;920;0.6441;868;1873;7473;2112;1731;-922;59;33.2851;12.1348;35.9816;-726;5.8239;4928;15797
BorgWarner;Consumer Discretionary;9689.7965;1259.9;939.7;9.3309;2.7267;609.7;1.4393;290.6;723.6;8841.5;1907.1;2566.1;-346.1;60.4;17.0072;7.5883;16.6482;-577.3;7.5992;5210;8023.2
Interpublic Group;Consumer Discretionary;9459.782;1031.8;874.8;9.6757;4.8129;454.6;1.3016;527.9;0;12585.1;7437.6;1745.1;-261.5;85.8;22.2745;3.5891;21.1973;-161.1;5.9707;10331.4;7613.8
Polo Ralph Lauren Corp.;Consumer Discretionary;9441.7454;891.3;581.9;6.6399;2.4266;396.4;1.0386;588.8;1125;6213;1056;713;-457;21;10.3838;6.4356;12.0826;-417.7;5.353;2469;7405.2
